Provinsi;Year;Sampah;Udara;Air
Nangroe Aceh Darussalam;2019;254830,94;9,071;6,056
Sumatera Utara;2019;1387495,08;8,658;5,111
Sumatera Barat;2019;385930,44;8,945;5,319
Riau;2019;809051,48;9,020;5,355
Jambi;2019;260478,27;8,725;5,849
Sumatera Selatan;2019;840605,66;8,713;6,445
Bengkulu;2019;145167,8;9,269;4,764
Lampung;2019;417630,88;8,662;5,574
Kep. Bangka Belitung;2019;112959,03;9,194;6,929
Kep.Riau;2019;628416,44;9,063;5,400
DKI Jakarta;2019;2008546,37;6,797;4,194
Jawa Barat;2019;2907389,89;7,510;4,559
Jawa Tengah;2019;3662964,43;8,481;5,164
DI Yogyakarta;2019;783652,45;8,519;3,537
Jawa Timur;2019;5413713,5;8,306;5,079
Banten;2019;2425292,19;7,498;4,311
Bali;2019;797720,94;8,985;6,533
Nusa Tenggara Barat;2019;201611,65;8,751;4,023
Nusa Tenggara Timur;2019;836918,7003;8,818;5,948
Kalimantan Barat;2019;527737,08;9,004;5,000
Kalimantan Tengah;2019;320317,42;8,882;5,680
Kalimantan Selatan;2019;594528,74;8,878;5,531
Kalimantan Timur;2019;720985,78;9,002;6,201
Kalimantan Utara;2019;72429,19;9,379;5,222
Sulawesi Utara;2019;324890,49;9,241;4,548
Sulawesi Tengah;2019;227061,44;9,298;6,259
Sulawesi Selatan;2019;719270,89;8,960;5,840
Sulawesi Tenggara;2019;91459,73;9,001;5,055
Gorontalo;2019;125774,51;8,688;5,720
Sulawesi Barat;2019;90015,43;8,997;5,615
Maluku;2019;127501,04;8,872;5,756
Maluku Utara;2019;93119,65;9,238;5,361
Papua;2019;127677,29;9,256;4,729
Papua Barat;2019;12090,99;9,264;5,389
Nangroe Aceh Darussalam;2020;247624,51;8,951;6,143
Sumatera Utara;2020;1335152,13;8,922;5,333
Sumatera Barat;2020;487547,99;9,039;5,350
Riau;2020;800681,67;9,042;5,324
Jambi;2020;370256,76;8,565;5,675
Sumatera Selatan;2020;1417845,83;8,657;6,333
Bengkulu;2020;36225,81;9,052;5,083
Lampung;2020;386922,96;8,545;5,621
Kep. Bangka Belitung;2020;204915,05;9,103;6,563
Kep. Riau;2020;470096,4;9,080;5,000
DKI Jakarta;2020;3054812,22;6,669;4,273
Jawa Barat;2020;3430859,16;7,846;4,150
Jawa Tengah;2020;4236201,24;8,473;5,521
DI Yogyakarta;2020;451594,9;8,955;5,000
Jawa Timur;2020;3847380,64;8,406;5,385
Banten;2020;1319940,11;7,283;5,056
Bali;2020;904924,36;8,834;6,433
Nusa Tenggara Barat;2020;203220,16;8,863;5,098
Nusa Tenggara Timur;2020;88742,67;8,980;5,919
Kalimantan Barat;2020;524411,56;8,888;5,167
Kalimantan Tengah;2020;353012,84;8,984;5,361
Kalimantan Selatan;2020;463110,54;8,893;5,167
Kalimantan Timur;2020;596948,8;8,902;6,000
Kalimantan Utara;2020;80718,83;9,423;5,182
